@relation Enem2019IFmuz

@attribute NU_NOTA_CN Numeric
@attribute NU_NOTA_CH Numeric
@attribute NU_NOTA_LC Numeric
@attribute NU_NOTA_MT Numeric
@attribute NU_NOTA_REDACAO Numeric
@attribute SEXO {'Masculino','Feminino'}
@attribute COR_RACA {'Nao declarado','Branca','Preta','Parda','Amarela','Indigena'}
@attribute TIPO_ESCOLA {'Nao Respondeu','Publica','Privada','Exterior'}
@attribute ESCOLARIDADE_PAI {'Nunca Estudou','Nao Completou 4serie/5ano','Completou 4serie/5ano','Completou 8serie/9ano','Completou Ensino Medio','Completou Faculdade','Completou Pos-graduacao','Nao Sei'}
@attribute ESCOLARIDADE_MAE {'Nunca Estudou','Nao Completou 4serie/5ano','Completou 4serie/5ano','Completou 8serie/9ano','Completou Ensino Medio','Completou Faculdade','Completou Pos-graduacao','Nao Sei'}
@attribute RENDA_FAMILIAR {'Nenhuma renda','Ate R$998,00','De R$998,01 ate R$1494,00','De R$1494,00 ate R$1996,00','De R$1996,01 ate R$2495,00','De R$2495,01 ate R$2994,00','De R$2994,01 ate R$3992,00','De R$3992,01 ate R$4990,0','De R$4990,01 ate R$5988,00','De R$5988,01 ate R$6986,00','De R$6986,01 ate R$7984,00','De R$7984,01 ate R$8982,00','De R$8982,01 ate R$9980,00','De R$9980,01 ate R$11976,00','De R$11976,01 ate R$14970,00','De R$14970,01 ate R$19960,00','Mais de R$19960,00'}
@attribute POSSUI_COMPUTADOR {'Nao','Sim,um','Sim,dois','Sim,tres','Sim,quatro ou mais'}
@attribute ACESSO_INTERNET {'Nao','Sim'}
@attribute NOTA_CIENCIASNATUREZA {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_CIENCIASHUMANAS {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_LINGUAGENSCODIGOS {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_MATEMATICA {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_REDACAO {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}

@data
485.6,553.0,522.2,494.0,740.0,'Feminino','Parda','Publica','Nao Completou 4serie/5ano','Completou 4serie/5ano','Ate R$998,00','Nao','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Abaixo_500','Entre_700-800'
566.6,589.4,547.2,481.7,740.0,'Feminino','Parda','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Abaixo_500','Entre_700-800'
512.8,493.0,541.0,783.1,820.0,'Masculino','Parda','Publica','Completou 8serie/9ano','Completou 4serie/5ano','De R$1996,01 ate R$2495,00','Sim,um','Sim','Entre_500-600','Abaixo_500','Entre_500-600','Entre_700-800','Entre_800-900'
520.8,448.0,554.0,541.6,660.0,'Masculino','Branca','Publica','Nao Completou 4serie/5ano','Completou Pos-graduacao','De R$3992,01 ate R$4990,0','Sim,dois','Sim','Entre_500-600','Abaixo_500','Entre_500-600','Entre_500-600','Entre_600-700'
583.8,548.0,566.5,731.8,700.0,'Masculino','Preta','Publica','Completou 4serie/5ano','Completou Ensino Medio','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_700-800','Entre_600-700'
486.0,548.7,541.2,609.9,680.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$3992,01 ate R$4990,0','Sim,um','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Entre_600-700','Entre_600-700'
549.5,564.1,588.8,644.2,660.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou 8serie/9ano','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_600-700'
636.7,632.5,617.8,614.3,680.0,'Masculino','Branca','Publica','Completou Ensino Medio','Nao Completou 4serie/5ano','Ate R$998,00','Nao','Sim','Entre_600-700','Entre_600-700','Entre_600-700','Entre_600-700','Entre_600-700'
489.6,459.1,496.4,461.2,580.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$2994,01 ate R$3992,00','Sim,um','Sim','Abaixo_500','Abaixo_500','Abaixo_500','Abaixo_500','Entre_500-600'
537.2,495.9,578.5,665.5,800.0,'Feminino','Branca','Publica','Completou 8serie/9ano','Completou 4serie/5ano','De R$2994,01 ate R$3992,00','Sim,um','Sim','Entre_500-600','Abaixo_500','Entre_500-600','Entre_600-700','Entre_700-800'
617.8,580.0,581.0,674.0,600.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou Pos-graduacao','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_600-700','Entre_500-600','Entre_500-600','Entre_600-700','Entre_500-600'
493.2,410.7,539.8,513.6,560.0,'Masculino','Parda','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$2495,01 ate R$2994,00','Sim,um','Sim','Abaixo_500','Abaixo_500','Entre_500-600','Entre_500-600','Entre_500-600'
